brands_tag,brands,sample_codes,count,row_number
entrepinares,Entrepinares,"[2350153002191, 2350273003177, 2350171002074, 2350334002118, 2350148001864, 2350153002092, 2350299003427, 2350280007281, 8115037003435, 2350266009322, 2350288003377, 2350373003817, 2350295002684, 2350291002633, 2350291002619, 2350299003342, 2350334001982, 2350294002784, 2350284003265, 2350299003540]",1798,1
fleury-michon,Fleury Michon,"[3095757228019, 3302740459023, 0774756207098, 3302740029158, 2095711864018, 29021598, 3095752169010, 3302740018794, 3095758699016, 3302740031151, 3302740030925, 3302740030963, 3302740031335, 3302740031038, 3830039119018, 3302740030772, 6065756951017, 0500624445794, 3302740057465, 6362710047411]",1798,1
dr-oetker,Dr. Oetker,"[5701073023013, 0058336350009, 4000521021320, 4001724420408, 5410231062923, 4000521005177, 5410231057028, 5410231101127, 4001724001614, 5701073064887, 8428013172231, 4001724039952, 4000521024604, 5410231086820, 4001724038115, 8606015711058, 4001724039358, 4000521033750, 8584002009343, 4000521034665]",1784,1
kaufland,Kaufland,"[4337185059445, 4337185482434, 4300175686976, 2858903014741, 4063367310942, 4063367145735, 4063367224935, 4063367234019, 4063367163333, 4063367145681, 4337185815911, 4063367149146, 4337185814136, 0096302189512, 4063367155383, 4337185843846, 4053736782579, 4300175360449, 4063367306396, 0096642157264]",1763,1
alteza,Alteza,"[8480024764492, 8480024002273, 8480024764829, 8480024829832, 8480024768124, 8480024834744, 8480024738110, 8480024649188, 8480024738257, 8480024815149, 8480024751324, 8480024813619, 8480024766809, 8480024741844, 8480024649393, 8480024823786, 8480024823595, 8480024744159, 8480024751898, 8480024816115]",1760,1
lay-s,Lay's,"[92508118, 4690388003814, 4060800184535, 8410199016003, 8710398507051, 8419192017215, 8410199017918, 7802000010941, 3126930155935, 0028400245005, 8964000090183, 0060410061404, 0028400688031, 8410199023131, 8710398524195, 8964000103661, 0028400692892, 5900259109071, 8964000090343, 4062139005963]",1754,1
rewe,Rewe,"[17032717, 4388860218398, 4388844111950, 4388860132748, 2155733001898, 4388860610208, 4337256320795, 4337256360081, 4337256319959, 4337256268240, 4388860413687, 4337256078627, 4337256275439, 42228295, 4388844184688, 0317800190191, 4337256494588, 4337256673693, 4002834024555, 4337256660532]",1746,1
bonpreu,Bonpreu,"[8422410090631, 8422410589302, 8422410178995, 8422410113330, 8422410084227, 8422410217700, 8422410577606, 8422410168101, 8422410808809, 8422410090532, 8422410000791, 8422410088300, 8422410126842, 8422410129492, 8422410473878, 8422410042708, 8422410107025, 8422410386925, 8422410469338, 8422410697496]",1728,1
esselunga,Esselunga,"[8002330134662, 2000000088910, 8002330051853, 8002330126605, 8002330008260, 8002330021818, 8002330017354, 18217809, 2040510000839, 8002330008789, 2000000048722, 2000000064674, 8002330091781, 8002330007102, 8002330133375, 8002330008185, 8002330003555, 8002330127718, 8002330004415, 8002330005146]",1703,1
deluxe,Deluxe,"[20058210, 4056489021421, 20292133, 20058555, 20574741, 20056896, 20058364, 20574109, 20631260, 20052980, 20798406, 20944827, 4056489425915, 4056489047308, 4056489367918, 60141552, 4056489601456, 20948795, 4056489482789, 4056489843450]",1684,1
milka,Milka,"[7622210386434, 7622210867643, 7622210860781, 7622210962003, 7622210463869, 7622210345943, 7622210953889, 2670987025525, 8420878585744, 7622210928702, 7622210649775, 7622210992246, 7622210599353, 7622300570057, 9120025836246, 6999902009751, 7622201802363, 7622201791636, 7622201806002, 7622201454944]",1645,1
compliments,Compliments,"[0055742510430, 0055742510423, 0055742545746, 0055742540611, 0055742552447, 0055742560626, 0055742550214, 05578016, 0055742551174, 0055742557855, 0055742555899, 0068820136422, 0055742545692, 2020223005819, 0055742572339, 0068820136231, 0623682105766, 0068820114451, 0068820134220, 0068820129516]",1593,1
hipp,Hipp,"[4062300168121, 4062300021112, 4062300091757, 4062300089402, 4062300321717, 4062300347311, 4062300370197, 4062300028098, 4062300201552, 4062300242043, 4062300352636, 4062300419667, 4062300424432, 4062300367586, 4062300392274, 4062300275034, 9062300140245, 9062300103523, 9062300138051, 4062300402805]",1558,1
maitre-coq,Maître Coq,"[0215231057925, 0215546105878, 0215281094208, 3230890010460, 0215546108633, 0215988032732, 0215787069274, 3230890038945, 3230890736377, 3230890737305, 3230890015311, 0215289026171, 0215289020407, 0215175040212, 0215779034440, 0215289029783, 0215779025783, 0215990029126, 0215243025127, 0215990024800]",1540,1
consum,Consum,"[8414807542199, 8414807542274, 8414807542762, 8414807518743, 8414807516350, 8414807540737, 8414807502308, 8414807544551, 8414807543820, 8414807531094, 8414807501639, 8414807000101, 8414807543936, 8414807544513, 8414807526601, 8414807528667, 2606971003514, 8414807511638, 8414807503770, 8414807514929]",1532,1
