brands_tag,brands,sample_codes,count,row_number
asahi,Asahi,"[4514603376616, 4946842526888, 4514603445411, 4946842527946, 4946842529063, 4946842509454, 4946842540020, 9350709001046, 4514603331318, 4901004006714, 4901004034625, 4514603382310, 4514603434613, 4514603347418, 4514603402711, 4904230073079, 0309002006585, 0099990002517, 4946842636075, 4514603396119]",126,1
kruger,Krüger,"[4052700006369, 4052700012728, 4052700085722, 5901716990751, 4052700085081, 4052700013350, 4052700093581, 4002309014937, 5901716991734, 4052700130569, 0010544079097, 4046746638950, 4052700052298, 4046746049985, 4052700094762, 4052700096384, 5901716913156, 4052700095493, 4052700623702, 4046746054750]",126,1
bella,Bella,"[24074421, 0854736003114, 4099200408644, 4099200028934, 7898935435508, 02867348, 3800047745820, 4061461653484, 4099200869056, 5283013317852, 4099200872247, 3800047700133, 4099200866536, 3800047788858, 4099200858104, 10052570, 80656678, 3800047774875, 3800047770396, 4099200416120]",126,1
cal-valls,Cal Valls,"[8427406055205, 8427406022214, 8427406102121, 8427406016213, 8427406010235, 8427406070109, 8427406066713, 8427406071106, 8427406074107, 8427406076507, 8427406014295, 8427406045008, 8427406045329, 8427406066225, 8427406120118, 8427406015131, 8427406650127, 8427406010327, 8427406066256, 8427406310205]",126,1
schwarzwaldmilch,Schwarzwaldmilch,"[4046700013137, 4046700029220, 4046700001806, 4046700108376, 4046700236406, 4046700001318, 4046700004449, 4046700006191, 4046700159781, 4046700500965, 4046700005521, 4046700014387, 4046700601129, 4046700019290, 4046700067215, 4046700005699, 4046700027042, 4046700003459, 4046700236437, 4046700067222]",126,1
casa-del-dolce,Casa del dolce,"[8005533050746, 8005533044226, 8005533049900, 8005533041898, 8005533037020, 8005533015608, 8005533021562, 8005533050197, 8005533052917, 8005533000512, 8005533009959, 8005533010504, 8005533044165, 8005533044240, 8005533051262, 8005533048569, 8005533043519, 8005533025065, 8005533051286, 8005533045186]",126,1
ciloglu,Ciloglu,"[8697436523573, 8697436544745, 8697436543762, 8697436559329, 8697436557493, 8697436550609, 8697436551750, 8697436555116, 8697436558728, 8697436555055, 8697436549276, 8697436585519, 8697436525263, 8682631808051, 8697436522361, 8697436520893, 8697436559220, 8697436551279, 8682631805531, 8697436554188]",126,1
alpenmark,Alpenmark,"[22141972, 4061458046183, 4061458046190, 2704042003231, 4061458047562, 2822407002900, 2707016002667, 22116703, 22127716, 22128973, 22150684, 2704863003656, 4061458047227, 2704049003357, 52918537, 2704865003210, 4061458044189, 4061458044523, 4061458044394, 2704866003493]",126,1
moulin-de-valdonne,Moulin de Valdonne,"[3272036007835, 3272036446559, 19270010, 3272463007644, 34624685, 8813463008481, 3272036008825, 3272038448483, 3272036002922, 3272463008283, 3272030002232, 3272030016239, 3272030018233, 3272036001116, 3272036001642, 3272036001673, 3272036001703, 3272036005589, 3272036005947, 3272036006005]",126,1
roler,Roler,"[8424219100627, 8424219065896, 8424219101037, 8424219097064, 8424219041814, 8424219091901, 8424219094872, 8424219097699, 8424219095312, 8424219058607, 8424219082008, 8424219078629, 8424219102461, 8424219059222, 8424219041555, 8424219049049, 8424219065117, 8424219038128, 8424219084101, 8424219100320]",126,1
frito-lay-company,Frito-Lay Company,"[0028400017824, 0028400078412, 0028400078436, 0028400087704, 0028400282048, 0028400449786, 0028400576291, 0028400598095, 0028400598286, 0028400600972, 0028400608886, 0028400611008, 0028400611053, 0028400614221, 0028400003773, 0028400013567, 0028400022477, 0028400180306, 0028400346832, 0028400415118]",126,1
terra-sana,Terra Sana,"[8713576275025, 8713576203424, 8713576275827, 8713576002751, 8713576007848, 11271871, 8713576001051, 8713576001389, 8713576100143, 8713576003185, 8713576002836, 8713576003383, 8713576271218, 8713576542066, 8713576003727, 8713576000610, 8713576007138, 3114576162042, 8713576272963, 8713576000832]",126,1
montperal,Montperal,"[3760048332187, 3760048330749, 3760048335263, 3760048335485, 3760048330701, 3760048336093, 3760048336185, 3760048336116, 3760048336147, 3760048335393, 3760048335409, 3760048335362, 3760048330107, 3760048330152, 3760048330251, 3760048330312, 3760048330329, 3760048332019, 3760048332033, 3760048335119]",126,1
meray,Meray,"[4251032602014, 4251032602519, 4251032611177, 4251032609457, 4251032610798, 4251032611016, 86807104, 86810241, 86809092, 4251032600171, 4251032607750, 4251032609679, 4251032608993, 4251032603660, 4251032601994, 4251032602991, 4251032607217, 4251032607293, 4251032609570, 4251032605985]",126,1
nature-s-bakery,Nature's Bakery,"[0047495112917, 0047286210040, 0047495800029, 0047495710045, 0047495710625, 0047495710656, 0047495800326, 0047495815016, 0047495710229, 0047495710250, 0554955112900, 0047495492101, 0047495800302, 0047495490107, 0047495800043, 0047495810721, 0047495026900, 0004749549155, 0047495800227, 0047495620047]",126,1
bojangles,Bojangles,"[107693566349080278664010, 9475781449857012, 244576991489291426312366, 446145730363437478610, 68308179431842576, 4764068347213971163764, 91032754462829444650651, 74352970640182814461, 0001438035305, 5646741987548279, 5795665724526881890237320, 49146463919099337149, 5635631246499595106511, 515753743781255446139, 608075230549694452386, 464067754461518694852735, 3311684119495930, 587838745094145, 4798548470095444037, 644402943058864]",125,1
jours-heureux,Jours Heureux,"[3602803437075, 3602800655083, 3700956431077, 3700956401315, 3602801980009, 3700956432951, 3700956429838, 3442647522014, 3602800129942, 3602800930807, 3700956429760, 3700956431091, 3700956432289, 3700956432692, 3602800129898, 3700956431176, 3700956433644, 3700956431800, 3602801158019, 3700956431169]",125,1
luna,Luna,"[0722252238252, 6281020173880, 0722252333063, 0722252333094, 0722252334077, 0722252541260, 0722252843128, 0722252265258, 0722252238009, 6281020200210, 6281020010512, 0722252238078, 6281020055711, 8437011987198, 0722252123619, 0722252250698, 0722252330604, 0722252333049, 0722252333056, 0722252333087]",125,1
watt,+Watt,"[8023826118768, 8023826118263, 8023826118775, 8023826120952, 8023826118256, 8023826116894, 8023826122031, 8023826111967, 8023826122574, 8023826117556, 8023826111295, 8023826122345, 8023826122857, 8023826122932, 8023826118102, 8023826117983, 8023826111318, 8023826117228, 8023826112056, 8023826117723]",125,1
mora,Mora,"[8710861990052, 8710861940910, 8710861994593, 8710861948176, 8710861986215, 8710484039206, 8710861994500, 5410341072386, 8710484071077, 8710861894442, 8710861993923, 8710861086489, 5410341074403, 8710861994814, 5410341122036, 8710861910623, 8710861995446, 8710861910616, 8710861916885, 8710861995217]",125,1
traditional-medicinals,Traditional Medicinals,"[0032917000163, 0032917101631, 0032917101853, 0032917002389, 0032917002211, 0032917001955, 0032917001986, 0032917000316, 0032917001894, 0032917000644, 0032917000125, 0032917101792, 0032917001594, 0032917001580, 0032917007605, 0032959442310, 0930418992577, 0032917101877, 0032917007063, 0032917007001]",125,1
conimex,Conimex,"[8712423052925, 8714100100011, 8711200497317, 8712423033559, 8711200455546, 8711200455447, 8722700453048, 8712423052024, 8711200431779, 8711200403370, 8712100542718, 8711200431717, 8711200475865, 0829185313008, 8711200423101, 8717163787922, 8710522975589, 8714100745441, 87141177, 8712566412013]",125,1
coudene,Coudène,"[3257630000413, 3257630014014, 3257630001038, 3257630001106, 3257630001663, 3257630002745, 3257630006026, 3257630006118, 3257630010542, 3257630014717, 3257630068536, 3257630085632, 3257630437523, 3257630654326, 3257630000277, 3257630000048, 3257630001069, 3257630013819, 3257630013826, 3257630057936]",125,1
la-cour-d-orgeres,La Cour d'Orgères,"[3760194181233, 3760194184128, 3760194183787, 3760194182872, 3760194182254, 3760194181493, 3760194183503, 3760194180557, 3760194181721, 3760194181783, 3760194182896, 3760194183237, 3760194183589, 3760194183640, 3760194183725, 3760194183824, 3760194184067, 3760194184135, 3760194182995, 3760194181714]",125,1
brach-s,Brach's,"[0041420043406, 0768395503833, 0041420076343, 0041420050855, 0041420064913, 0041420047039, 0041420045240, 0041420113116, 0041420049392, 0041420049606, 0011300660764, 0011300397332, 0041420028731, 0041420028670, 0011300492280, 0041420061370, 0041420054747, 0011300397066, 0041420045011, 0041420054174]",125,1
marcel-fils,Marcel & Fils,"[3760313530553, 3760313534247, 3760313531604, 3760313534643, 3760313534650, 3760313534551, 3760313532823, 3760313530287, 3760313530416, 3760313533257, 3760313533134, 3760313530751, 3760313533479, 3760313531178, 3760313533899, 3760313533035, 3760313532847, 3760313530928, 3760313535695, 3760313530607]",125,1
emile-noel,Emile noel,"[3291960016195, 3291960001344, 3291960004925, 3291960002808, 3291960938398, 3291960930224, 3291960001160, 3291960018427, 3291960002051, 3291960004970, 3291960007117, 3291960008114, 3291960008565, 3291960013491, 3291960015556, 3291960016737, 3291960017888, 3291960005588, 3291960005373, 3291960011787]",125,1
torku,Torku,"[8690120059105, 8683476142478, 8690120060217, 8690120132648, 8690120047997, 8690120050355, 8690120051215, 8690120061382, 8690120072395, 8690120065687, 8690120076331, 8690120509792, 8690120054384, 8680181066921, 8680181088329, 8690120049656, 8680181124515, 8680181082228, 8690120070131, 8690120035116]",125,1
mascarin,Mascarin,"[3290082012009, 3290082011620, 3290081010426, 3443271449739, 3443271018201, 3443271326009, 3443271331010, 3443271335018, 3443271340012, 3443271342016, 3443271720289, 3290082011125, 3290082016618, 3290082010258, 3443271449708, 3443271449784, 3290082012078, 3443271341019, 3443271200002, 3290082036111]",125,1
trapa,Trapa,"[8410679235054, 8410679400650, 8410679234088, 8410679232206, 8410679106477, 8410679017148, 8410679106361, 8410679211157, 8410679017155, 8410679001437, 8410679106538, 8410679005718, 8410679001703, 8410679660016, 8410679106415, 8410679660078, 8410679030062, 8410679040511, 8410679187049, 8410679001208]",125,1
royal-bernard,Royal Bernard,"[2208928026371, 2208463008993, 3276280088916, 2208578026707, 3276280143790, 3276280089920, 3276280089746, 3276280089067, 3276280087575, 3276280087872, 3276280086745, 3276280086554, 3276280086172, 2208928023165, 3276280085793, 3276280086356, 3276280084239, 3276280086547, 2208928027620, 2208463014437]",125,1
tiesta-tea,Tiesta Tea,"[0857898005064, 0816960024716, 0816960021364, 0816960021470, 0816960021098, 0816960020954, 0816960020312, 0799632671077, 0799632670742, 0799632670803, 0608866397540, 0608866398103, 0608866398219, 0608866397298, 0608866397045, 0608866396512, 0608866396659, 0857898005231, 0816960024730, 0816960023696]",125,1
alma,Alma,"[8030097001958, 8425206100095, 8412869300702, 4740125639124, 4740553699752, 4740125638318, 8412869392035, 4740125633221, 4740125410099, 4740125633160, 7503028264216, 8030097000241, 8412869392011, 8412869313085, 9002400074927, 9000133010670, 4740125638073, 4740125120257, 8030097002979, 9019060202447]",125,1
chocolove,Chocolove,"[0716270001523, 0716270001530, 0716270051535, 0716270060124, 0716270080054, 0716270001370, 0716270075449, 0716270075265, 0716270075296, 0716270075302, 0716270075258, 0716270040096, 0716270051313, 0716270031346, 0716270016008, 10716270060121, 10716270060046, 0716270075418, 0126970001301, 0716270015001]",125,1
clif-bar,Clif Bar,"[52990083, 0722252130037, 0722252130082, 0722252161031, 0722252161086, 0722252161604, 0722252166166, 0722252386410, 0322252381530, 0722252315755, 0722252068811, 0722252153333, 92007222522661900369, 0722252512161, 0722252387486, 0722252126030, 0722252301147, 0722252301161, 0722252301123, 52830044]",125,1
yumearth,YumEarth,"[0810165018013, 0810165019447, 0810165011427, 0810165010246, 0810165011953, 0810165015784, 0810165019065, 0890146001012, 0890146001579, 0810165018365, 0810165019454, 8809284590168, 0810165018099, 00000451, 0810165011939, 0810165018082, 0810165019461, 0810165019294, 0810165013179, 0810165019287]",125,1
la-pateliere,La Pateliere,"[3278587482008, 3278581051019, 3278588471360, 3278584190227, 3278584146002, 0850024482043, 3278581461207, 3278584122051, 3278584144190, 3278584144275, 3278584146064, 3278584146255, 3278584146309, 3278584148044, 3278584155066, 3278584190241, 3278584190258, 3278584190531, 3278584321096, 3278584340110]",125,1
breyers,Breyers,"[0058779141486, 0058779132873, 8714100648377, 8714100648384, 8714100648391, 0058779143299, 0058779141622, 0077567003263, 0562967165302, 63439656, 0077561287980, 0071169816887, 0071169818324, 0077567275059, 0058779212360, 0077567002150, 8711327403260, 0077567003904, 0058779132859, 0058779143244]",124,1
caputo,Caputo,"[8006940011986, 8014601150707, 8006940010217, 8006940011993, 8014601250315, 8014601053343, 8006940007330, 8006940003141, 8006940007361, 8006940009662, 0010096211037, 8033315651966, 8006940007897, 8006940007811, 8006940004742, 8006940007019, 8014601046208, 8006940003394, 8014601250735, 8006940003165]",124,1
nocco,Nocco,"[7340131600162, 7340131600407, 7340131603200, 7340131603064, 7340131602920, 0850000429581, 7340131600094, 7340131600575, 7340131601961, 0644250601961, 7340131603705, 7340131605136, 7340131600148, 7340131600872, 7340131602746, 7340131605488, 0850000429499, 7340131603316, 0300934603934, 7340131603538]",124,1
heidi,Heidi,"[5941021014469, 5941021024697, 5941021011178, 7611851225370, 5941021010324, 5941021024017, 5941021001261, 5941021011406, 5941021025625, 5941021022556, 11177023, 5941021016074, 2185042006758, 7611851125076, 5941021004163, 5941021019341, 5941021024901, 5941021018009, 0904025015608, 5941021017101]",124,1
bama,Bama,"[2922078008970, 7031031221013, 7031031230169, 7040511095105, 7023026063111, 0006429099007, 08711122, 7403026416917, 7040516002917, 0041259213513, 7023026089319, 7040512838121, 7031031266014, 7031036630209, 7023026089470, 8410300363446, 7031031232033, 7023026060110, 7023026073165, 7031036333018]",124,1
l-epicurien,L'épicurien,"[3441260004266, 3441260036410, 3441260080154, 3441260080024, 3441260003375, 3441260003801, 3441260004389, 3441260080338, 3441260803616, 3441260080116, 3441260802916, 3441260804415, 3441260004433, 3441260004105, 3441260004631, 3441260807010, 3441260004372, 3441260003146, 3441260004051, 3441260001081]",124,1
dallmayr,Dallmayr,"[4008167103905, 4026963016281, 4026963439240, 4008167003847, 4008167256755, 4026963070290, 4008167310594, 4026963071327, 4026963047643, 7613038641539, 4008167045205, 4026963050759, 4008167325215, 4008167003656, 4008167955528, 4026963013228, 4026966033322, 4008167023609, 4008167034711, 4008167055105]",124,1
bakoma,Bakoma,"[5900197012907, 5900197030017, 5900197029110, 5900197016530, 5900197023897, 5900197011009, 5900197026270, 5900197011955, 5900197031182, 5900197013812, 5900197028045, 5900197028038, 5900197029707, 5900197027871, 19001975, 5900197031779, 5900197029851, 5900197030895, 5900197023842, 5900197023125]",124,1
govinda,Govinda,"[4038507008140, 4038507001943, 4038507008164, 4038507001776, 4038507002452, 4038507004463, 4038507006856, 4038507009611, 4038507009956, 4038507010648, 4038507010587, 4038507005422, 4038507002421, 4038507003299, 4038507006276, 4041246500349, 4038507000571, 4038507006924, 4038507008850, 4038507008386]",124,1
knusperone,Knusperone,"[24084659, 4061458059169, 7061318009287, 4061458059213, 22112118, 22148506, 22166142, 4047247083157, 24100458, 4099200062969, 4061458061629, 4061464216570, 4047247074421, 4047247098915, 4061463702562, 28014461, 4061458059176, 4061464216709, 24039253, 4061458061643]",124,1
fabbri,Fabbri,"[8001780151045, 8001780380087, 8001780122021, 8001780151724, 8001780497303, 8001780149271, 8001780150635, 8001780420226, 8001780140759, 8001780497488, 8001780140735, 8001780150130, 8001780151243, 8001780153438, 8001780303697, 8001780200620, 8001780149233, 8001780151175, 8033064050300, 8001780153834]",124,1
tresors-de-chefs,Tresors De Chefs,"[3663327002187, 3336627000770, 2100005474597, 3663327002385, 3663327000626, 3663327003726, 3663327000855, 3663327000909, 3663327001074, 3663327002033, 3663327002989, 3663327004044, 3663327015811, 3663327001531, 3663327000565, 4892708274335, 3663327007861, 3663327001333, 3663327008073, 3663327001432]",124,1
tazo,Tazo,"[0794522200108, 0794522002023, 0794522003051, 92007945220015200089, 0794522001538, 0794522002245, 0762111199492, 0794522003457, 0794522003020, 0794522210107, 0794522214013, 0794522722594, 0794522003389, 0794522001392, 0079452200191, 0794522002238, 0794522002047, 0794522001460, 0794522660421, 0794522003099]",124,1
fiasconaro,Fiasconaro,"[8030525000188, 8030525004216, 8030525002878, 8030525004117, 8030525002144, 8030525000621, 8030525002649, 8030525002311, 8030525002540, 8030525004179, 8030525004032, 8030525004094, 8030525003974, 8030525003769, 8030525004018, 8030525004230, 8030525003301, 8030525004223, 8030525003196, 8030525000263]",124,1
hofburger,Hofburger,"[29065806, 4061458046930, 4061461623821, 4061458022545, 2710027002762, 29013968, 4061461583026, 4061458229517, 4061458216395, 4061458269285, 4061458044509, 4061458044493, 29007479, 29064885, 4061458229470, 2009010003986, 4061458044530, 29060696, 29064847, 4061458047272]",124,1
sun-queen,Sun Queen,"[7613312210741, 7613312075470, 7613312104873, 7613312188613, 7613312295373, 7610200010346, 7613269193968, 7613269288374, 7617027058216, 7613312314029, 7613312261767, 7610200017673, 7613312328866, 7613312415849, 7613312305706, 7613312297223, 7613312308653, 0643992065512, 7613312313985, 7613269194033]",124,1
tigros,Tigros,"[8030582501000, 8030582502779, 8030582500706, 8030582501598, 8030582502595, 8030582510668, 8030582505800, 2128710004502, 8030582505862, 8030582510644, 8030582506647, 8030582502717, 8030582502588, 8030582506555, 8030582501185, 8030582501406, 8030582510637, 8030582505756, 8030582507941, 2170780004562]",124,1
ener-bio,Ener Bio,"[4305615792309, 4305615852386, 4305615677187, 4068134013651, 4305615666792, 4305615670249, 4305615888224, 4968439465189, 4305615982724, 4305615961651, 4305615188638, 4305615678337, 4305615822570, 33660639, 4305615879116, 4305615678641, 4305615678610, 13059815, 4305615595214, 4305615666341]",124,1
crystal-light,Crystal Light,"[04361600, 04361804, 04362706, 04366702, 04379706, 53330925, 0043000011331, 0043000041567, 0043000048627, 0043000048634, 0043000063361, 0043000950289, 0492031300554, 0492031305979, 04352806, 17580786, 0043000014394, 04300609, 04385707, 0043000071489]",123,1
ghost,Ghost,"[0857640006424, 0810128524278, 0810128525299, 0810128521338, 0000283296022, 0810128528160, 0810128528818, 0810085819431, 0810085819868, 5050456000272, 0810028293847, 0810028292574, 0810028293281, 0810028297043, 0810085818892, 0810128520539, 0810128527736, 0810128527675, 0810128525886, 0810128528795]",123,1
hooters,Hooters,"[1281433468816064051081, 401004210900183890, 6668447364693550673676, 61300544278279600, 2611607464278873027185293512, 2932149282827154022, 8733620714155991579, 5370707452448066660755, 6962984442933479562627, 544553680244609013440810, 72263446070099029942, 910988631245108517183, 66156673303459070140596, 63063228348433221961179, 4761234412446747227817, 95244034606811522451, 7498570804738926389350, 49031954588621981457, 30359459601846820119707, 991386515442939176656]",123,1
desira,Desira,"[4061458014403, 4061458023290, 4061458022415, 4061458022231, 4099200850931, 4099200400914, 4061458093620, 4061458019613, 4099200852096, 5068418130783, 4099200852119, 4061458014397, 4061462633270, 4099200020242, 4061458042208, 22125729, 22145239, 22161086, 22164100, 22169112]",123,1
pauls,Pauls,"[9310036066262, 9310036049746, 9310036047308, 9310036005988, 9310036072942, 9310036104896, 9310036051701, 9310036079293, 9310036041948, 9310036061328, 9310036075707, 9310036071501, 9310036077879, 9310036079262, 9310036007296, 9310036016878, 9310036003854, 9310036003205, 9310036066842, 9310036065654]",123,1
assi,Assi,"[0081652020660, 0081652205807, 0081652195603, 0081652081128, 0081652041283, 0545732099286, 0081652205821, 0081652834496, 0081652011545, 0081652071051, 0081652000808, 0081652078425, 0081652071242, 0081652080701, 0081652081012, 0081652205548, 0081652297321, 0081652603542, 0081652099161, 0081652086970]",123,1
pelican,Pelican,"[7613312337172, 7613312304587, 7613312311622, 7613312262375, 7613312252604, 7613312441824, 7613312319413, 7613269292708, 7613269292807, 7613269302834, 7613269302858, 7613269304012, 7613312272589, 7613312313831, 7613312315033, 7613312271247, 7613312310267, 7613312256350, 7613312220153, 7613269291527]",123,1
jamieson,Jamieson,"[0064642070340, 0064642092045, 0064642020314, 0064642025487, 0064642022004, 0064642091086, 0064642061065, 0064642020291, 0064642095862, 0064642092229, 0064642020697, 0064642096456, 0064642021632, 0064642095831, 0064642062123, 0064642079213, 0064642093127, 0064642094513, 0064642026170, 0064642092724]",123,1
zotter,Zotter,"[9006403052319, 9006403067382, 9006403065371, 9006403052555, 9006403047872, 9006403024927, 9006403053828, 9006403065548, 9006403059301, 9006403033004, 9006403061830, 9006403033608, 9006403058304, 9006403014911, 9006403040057, 9006403065463, 9006403078562, 9006403076384, 9006403039679, 00022105]",123,1
siete,Siete,"[0810091780190, 0851769007089, 0851769007867, 0869066000306, 0810091781111, 0810091781135, 0853986008283, 0810091780466, 0810001789480, 0851769007935, 0851769007119, 0851769007928, 0853986008887, 0810091789919, 0851769007980, 0851769007734, 0086906600036, 0851769007850, 0610061769916, 0851769007775]",123,1
driscoll-s,Driscoll's,"[0715756500123, 0715756200115, 8720195160229, 0715756100286, 0002590871477, 8775176300811, 8717496048127, 8717496045294, 8717496041722, 8717496041845, 8717496042521, 8717496044303, 8720195163626, 0715756100262, 8717496050014, 8717496041623, 0715756100019, 02106805, 8717496044235, 8717496040060]",123,1
sun-snacks,Sun Snacks,"[4061458059503, 05206334, 4047247544689, 22122643, 22129741, 4061458225120, 4061458056335, 4061458140508, 4061458115902, 4047247176866, 2006050179527, 7061318058971, 4061463929839, 4061458078061, 4047247366656, 4061458059015, 4047247095587, 4061461922818, 4061461922832, 4047247261142]",123,1
orto-d-autore,Orto d'Autore,"[8032715241005, 8032715242125, 8032715242118, 8052787301292, 8032715243283, 8052787301025, 8052787301223, 8052787301117, 8032715242200, 8032715242101, 8032715241012, 8052787300400, 8052787301353, 8032715242149, 8032715244099, 8052787640131, 8052787301261, 8052787300844, 8032715241043, 8052787300691]",123,1
central-lechera-asturiana,Central Lechera Asturiana,"[12721115, 8410297014796, 2000000037926, 8410297151026, 0470787161728, 53369536, 8410297141010, 8410297143076, 8436039439115, 8410297010200, 8410297121050, 8410297161896, 09852389, 8410297115141, 8410297141287, 8410297113673, 8410297115363, 8410297915734, 8410297113680, 8410297114724]",123,1
nature-s-answer,Nature's Answer,"[0083000260445, 0083000267000, 0083000269301, 0083000266836, 0083000266058, 0083000266201, 0083000260476, 0083000163609, 0083000005923, 0083000005749, 0083000269646, 0083000266928, 0083000266706, 0083000266737, 0083000266300, 0083000266553, 0083000266102, 0083000262531, 0083000164316, 0083000164958]",122,1
shop-rite,Shop Rite,"[0201579810476, 0041190400942, 0041190408122, 0041190407026, 0041190006670, 0041190007738, 0041190033348, 0041190045020, 0041190049721, 0041190049783, 0041190052684, 0041190253197, 0041190406470, 0041190462766, 0041190575596, 0041190576081, 0041190576098, 0041190071609, 0041190408955, 0041190461783]",122,1
manuzzi,Manuzzi,"[8005324006181, 8005324021542, 8005324021610, 8005324020378, 8005324001971, 8005324021818, 8005324021375, 8005324020774, 8005324002541, 8005324020699, 8005324021467, 8005324020392, 8005324001308, 8005324021078, 8005324013110, 8005324005306, 8005324021849, 8005324020484, 8005324021740, 8005324020590]",122,1
purland,Purland,"[4063367162251, 4306528125260, 4063367320644, 10430652800428217230708, 10430652812182817210707, 10430652880278917230628, 2205366014922, 4337185367663, 50807302, 4063367512346, 4306528137263, 4306528142458, 4063367320668, 2239562007495, 4306528309400, 4063367087820, 4011364218518, 2212211002676, 4306528105484, 4063367286704]",122,1
celestial-seasonings,Celestial Seasonings,"[0070734546211, 0070734544910, 0070734546105, 0070734546686, 0856429008314, 0070734546884, 0070734513701, 0028400040808, 0070734004186, 0070734518294, 0070734522673, 0070734533594, 0070734541322, 0070734535796, 0070734538520, 0070734527814, 0070734538490, 0070734522260, 0070734545474, 0070734502668]",122,1
falcone,Falcone,"[8023696000460, 8023696007377, 8023696001467, 8023696008480, 8023696006776, 8023696007797, 8023696000279, 8023696006455, 8023696008404, 8023696007445, 8023696008060, 8023696007933, 8023696008411, 8023696008428, 8023696006370, 8023696007605, 8023696007551, 0660805000218, 8023696008183, 8023696000309]",122,1
nom,"Milk, NÖM","[8034066371851, 8034066307614, 8034066303012, 8034066302817, 8034066370014, 8034066308604, 8034066307218, 8034066307751, 8034066370045, 8034066301278, 8034066646089, 8034066374517, 8034066308017, 8034066301001, 8034066302411, 8034066304828, 8034066300264, 8034066303180, 8034066307096, 8034066309021]",122,1
summer-fresh,Summer Fresh,"[0773200712416, 0773200718715, 0773200718722, 0773200702226, 0773200714960, 0773200718708, 0773200718012, 0773200712102, 0773200718418, 0773200702233, 0773200704992, 0773200719774, 0773200719156, 0773200719545, 0773200718999, 0773200718425, 0773200714700, 0773200715189, 0773200719576, 0773200718753]",122,1
lunds-byerlys,Lunds & Byerlys,"[0253353013634, 0018169662878, 0262243709564, 0072431048548, 0072431171130, 0421196910360, 0072431213502, 0018169490266, 0018169667385, 0072431004124, 0072431010774, 0072431043420, 0072431043512, 0072431244612, 0267711815389, 0072431229985, 0072431200540, 0072431205484, 0267286009107, 0072431011412]",122,1
maitre-jean-pierre,Maître Jean Pierre,"[4056489039525, 4056489039297, 9059482899085, 8309321051831, 20006888, 20022185, 20342371, 20507350, 20712778, 20840211, 20921088, 22058187, 20298029, 9050482039518, 4056489685807, 98300273, 3728411045058, 4335619018648, 9050482257110, 4056489008880]",122,1
baton-rouge,Baton Rouge,"[3592860061316, 3592860041622, 3592860012301, 3592860015876, 3592860012097, 3592860012288, 3592860012363, 3592860012547, 3592860070301, 3592860083080, 3592860084025, 3592860084223, 3592860012677, 3592860070332, 3592860011977, 3592860070523, 3592860070325, 3592860040045, 3592860070462, 3592860013650]",122,1
croky,Croky,"[5414359922213, 5414359961120, 5414359994944, 5614759962677, 5414359981500, 5414359999611, 5414359909276, 5414359910500, 5414359910524, 5414359911019, 5414359921759, 5414359922152, 5414359961304, 5414359981517, 5414359993015, 5414359961618, 5414359932793, 5414359992100, 47339798, 5414359961397]",122,1
dan-cake,Dan Cake,"[5601069007952, 5601069004364, 5601069111666, 5601069008119, 8946000009556, 5709152019858, 5709152019919, 5709152014334, 5709152009293, 5709152014464, 5601069006825, 5709152019025, 5900864767635, 5900864765211, 5709152020335, 5900864721545, 5601069004883, 5900864780931, 5900864709789, 5773184530148]",122,1
milk,"Milk, NÖM","[8034066303241, 8034066302220, 8034066308819, 8034066300523, 8034066309038, 8034066370007, 8034066305047, 8034066305733, 8034066308628, 8034066302237, 8034066302244, 8034066301018, 8034066361012, 8034066604072, 8034066303043, 8034066371530, 8034066376528, 8034066371615, 8034066376023, 8034066302831]",122,1
namedsport,NamedSport,"[8054956340415, 8054956343645, 8054956344901, 8054956344864, 8054956340958, 8054956340057, 8054956342327, 8054956344383, 8054956343508, 8054956340255, 8054956342198, 8054956340446, 8054956340224, 8054956340484, 8054956340897, 8054956341108, 8054956340606, 8054956340934, 8054956341122, 8054956344437]",122,1
vitalis,Vitalis,"[24034289, 4061458237956, 8436537526249, 4061458007801, 4047247144858, 4000521035723, 4061458176576, 84888020, 4061463067326, 56004472, 4047247568890, 4000521041991, 4068261040605, 4061458215954, 4061458222037, 2000000067779, 4061458176637, 4061458175821, 24036481, 4061463074942]",122,1
yogi,Yogi,"[0076950204546, 0076950205826, 0076950450677, 4012824403154, 0076950207158, 4012824406155, 4012824406254, 0076950450011, 0076950450226, 4012824402980, 18504170, 0076950209138, 0076950204713, 0076950203525, 0076950203488, 0076950208780, 0076950450301, 15349729, 4012824406261, 0076950203471]",122,1
mulot-petitjean,Mulot & Petitjean,"[3760129929909, 3760129921330, 3760129923051, 3760129923273, 3760129920043, 3760129920753, 3760129920838, 3760129923365, 3760129927905, 3760129928766, 3760129929886, 3760129929077, 3760129925949, 3760129924287, 3760129920012, 3760129929794, 3760129927646, 3760129920593, 3760129921521, 3760129922290]",122,1
paluani,Paluani,"[8002540011180, 8002540003635, 8002540000153, 8002540003093, 8002540067149, 8002540000658, 8002540048032, 8002540070064, 8002540008098, 8002540000665, 8002540080087, 8002540067057, 8002540000580, 8002540000733, 8002540001822, 8002540014549, 8002540000795, 8002540011012, 8002540021028, 8002540102123]",122,1
